payment_id,customer_id,amount,payment_method,failure_reason,timestamp,initial_action,recovered,recovery_time_hours
P000086,C01393,3152.53,Card,insufficient_balance,2026-03-12 08:50:00,escalate,False,
P000087,C01584,4653.77,NetBanking,expired_card,2026-06-10 20:14:00,retry,False,
P000088,C00506,1184.5,NetBanking,expired_card,2026-04-01 20:24:00,message,True,17.0
P000089,C00906,3998.5,UPI,network_error,2026-03-05 09:49:00,payment_link,True,26.0
P000090,C01025,2472.22,UPI,limit_exceeded,2026-01-02 14:30:00,retry,False,
P000091,C02974,1316.98,UPI,insufficient_balance,2026-01-25 02:39:00,escalate,False,
P000092,C01710,1271.96,UPI,insufficient_balance,2026-01-25 05:13:00,retry,False,
P000093,C03283,3972.56,Card,insufficient_balance,2026-04-07 06:10:00,escalate,True,64.0
P000094,C00919,3539.24,Card,expired_card,2026-02-12 19:33:00,retry,False,
P000095,C02348,2336.74,Card,network_error,2026-01-12 12:57:00,retry,True,35.0
P000096,C02073,6105.92,Card,bank_timeout,2026-02-16 01:30:00,escalate,True,15.0
P000097,C01348,20229.75,Card,insufficient_balance,2026-06-13 04:09:00,escalate,True,26.0
P000098,C03335,3830.93,Card,card_declined,2026-05-10 04:33:00,message,True,31.0
P000099,C03726,4543.01,Card,expired_card,2026-03-01 05:16:00,stop,False,
P000100,C00929,7465.72,NetBanking,network_error,2026-02-19 22:47:00,payment_link,True,62.0
P000101,C01317,3497.39,UPI,network_error,2026-03-09 05:10:00,stop,False,
P000102,C01976,4460.76,NetBanking,limit_exceeded,2026-03-08 18:39:00,escalate,True,67.0
P000103,C01926,1301.23,Card,bank_timeout,2026-03-11 08:55:00,stop,False,
P000104,C03984,3163.43,UPI,bank_timeout,2026-01-31 05:37:00,message,True,16.0
P000105,C01487,2219.65,UPI,bank_timeout,2026-04-21 19:37:00,payment_link,False,
P000106,C00180,10816.36,UPI,insufficient_balance,2026-06-18 14:57:00,stop,False,
P000107,C01138,828.84,NetBanking,insufficient_balance,2026-02-09 23:11:00,message,False,
P000108,C02959,3027.12,Card,insufficient_balance,2026-02-10 11:28:00,message,True,29.0
P000109,C00812,1148.67,Card,card_declined,2026-03-31 02:19:00,payment_link,False,
P000110,C00293,4364.42,UPI,insufficient_balance,2026-01-30 16:52:00,retry,True,36.0
P000111,C02927,41550.56,NetBanking,network_error,2026-05-18 16:55:00,payment_link,False,
P000112,C00238,4590.68,NetBanking,network_error,2026-03-05 07:37:00,message,True,29.0
P000113,C01984,1790.31,Card,network_error,2026-03-23 22:28:00,message,False,
P000114,C03529,1689.66,UPI,bank_timeout,2026-05-01 06:02:00,message,True,51.0
P000115,C03809,4806.26,UPI,limit_exceeded,2026-03-13 16:33:00,message,False,
P000116,C01666,631.66,UPI,bank_timeout,2026-03-26 18:09:00,payment_link,True,54.0
P000117,C03317,1626.29,UPI,network_error,2026-04-15 15:03:00,message,False,
P000118,C03480,2040.72,Card,limit_exceeded,2026-03-11 11:20:00,payment_link,True,12.0
P000119,C03059,1823.15,UPI,bank_timeout,2026-02-25 17:47:00,stop,False,
P000120,C00016,1100.79,Card,bank_timeout,2026-02-12 23:13:00,payment_link,False,
P000121,C00804,2025.93,NetBanking,card_declined,2026-06-23 00:33:00,retry,False,
P000122,C03379,3394.94,UPI,network_error,2026-04-14 12:51:00,retry,False,
P000123,C03648,1062.87,UPI,insufficient_balance,2026-01-22 17:13:00,escalate,False,
P000124,C01448,2315.74,NetBanking,card_declined,2026-06-03 21:54:00,escalate,True,62.0
P000125,C01043,3191.59,Card,card_declined,2026-01-05 08:32:00,retry,True,4.0
P000126,C03994,4060.34,NetBanking,card_declined,2026-01-30 21:09:00,payment_link,False,
P000127,C01359,901.83,Card,limit_exceeded,2026-03-05 08:10:00,message,False,
P000128,C02009,2303.44,UPI,insufficient_balance,2026-06-07 01:10:00,payment_link,False,
P000129,C02825,2307.6,UPI,limit_exceeded,2026-04-07 08:57:00,payment_link,True,64.0
P000130,C03753,2252.78,Card,insufficient_balance,2026-02-28 14:52:00,stop,False,
P000131,C03766,5427.37,Card,insufficient_balance,2026-06-16 02:54:00,escalate,False,
P000132,C03972,20201.21,Card,limit_exceeded,2026-03-21 06:52:00,stop,False,
P000133,C00337,2426.06,UPI,insufficient_balance,2026-04-02 08:28:00,payment_link,True,27.0
P000134,C00877,4031.16,Card,insufficient_balance,2026-04-11 14:32:00,stop,False,
P000135,C01463,7040.08,Card,limit_exceeded,2026-05-26 23:46:00,retry,True,68.0
P000136,C03562,1761.5,Card,insufficient_balance,2026-03-05 11:13:00,retry,False,
P000137,C00496,2941.04,NetBanking,insufficient_balance,2026-02-26 18:22:00,payment_link,False,
P000138,C00935,2487.37,Card,network_error,2026-01-09 00:02:00,escalate,False,
P000139,C03400,43323.03,NetBanking,bank_timeout,2026-01-30 14:15:00,payment_link,False,
P000140,C01317,1684.69,Card,bank_timeout,2026-06-17 22:07:00,stop,False,
P000141,C02706,4732.59,UPI,card_declined,2026-05-13 15:19:00,escalate,True,31.0
P000142,C03050,23435.08,UPI,card_declined,2026-02-02 03:59:00,payment_link,True,39.0
P000143,C03050,13866.83,UPI,network_error,2026-04-15 09:30:00,escalate,True,52.0
P000144,C02118,3661.78,Card,limit_exceeded,2026-06-07 23:13:00,payment_link,True,6.0
P000145,C00960,1093.77,UPI,network_error,2026-06-10 15:22:00,escalate,False,
P000146,C00313,1101.94,Card,expired_card,2026-01-13 17:43:00,retry,False,
P000147,C01167,1711.53,Card,card_declined,2026-03-12 17:37:00,message,True,18.0
P000148,C01604,4810.43,Card,network_error,2026-04-26 08:44:00,escalate,True,36.0
P000149,C03140,5362.96,UPI,insufficient_balance,2026-03-20 13:46:00,payment_link,True,69.0
P000150,C02192,3398.29,UPI,expired_card,2026-02-20 18:16:00,retry,False,
P000151,C00842,25617.95,Card,insufficient_balance,2026-03-14 12:09:00,escalate,False,
P000152,C03258,728.76,Card,insufficient_balance,2026-04-17 12:52:00,message,False,
P000153,C00260,2922.51,Card,expired_card,2026-05-08 07:48:00,stop,False,
P000154,C00760,5529.7,UPI,bank_timeout,2026-06-01 11:25:00,message,False,
P000155,C01972,1266.01,UPI,insufficient_balance,2026-05-22 10:23:00,escalate,False,
P000156,C03069,2873.28,UPI,insufficient_balance,2026-06-14 12:20:00,stop,False,
P000157,C00270,2569.93,UPI,insufficient_balance,2026-03-19 08:08:00,escalate,True,63.0
P000158,C01400,774.87,NetBanking,network_error,2026-01-24 12:16:00,payment_link,False,
P000159,C01232,2696.98,Card,card_declined,2026-02-16 22:22:00,retry,False,
P000160,C03043,1965.6,UPI,limit_exceeded,2026-06-21 12:39:00,payment_link,False,
P000161,C02610,1620.3,UPI,card_declined,2026-03-28 01:11:00,retry,False,
P000162,C01951,3093.6,Card,card_declined,2026-02-11 13:25:00,message,False,
P000163,C03425,1028.77,NetBanking,card_declined,2026-01-19 17:22:00,stop,False,
P000164,C00213,2580.08,Card,insufficient_balance,2026-04-29 18:31:00,retry,False,
P000165,C02470,2899.46,NetBanking,insufficient_balance,2026-04-23 20:13:00,retry,True,9.0
P000166,C00764,1348.3,UPI,expired_card,2026-03-04 03:28:00,retry,False,
P000167,C03311,3567.28,UPI,insufficient_balance,2026-04-01 07:14:00,stop,False,
P000168,C02251,17421.43,Card,card_declined,2026-02-10 04:55:00,message,True,58.0
P000169,C02903,3678.72,Card,insufficient_balance,2026-01-02 19:17:00,retry,True,38.0
P000170,C00620,1536.87,Card,expired_card,2026-01-24 10:10:00,retry,False,
P000171,C00136,3723.16,Card,expired_card,2026-02-02 20:16:00,payment_link,True,60.0
P000172,C02984,1483.79,Card,network_error,2026-06-28 07:00:00,stop,False,
P000173,C02887,4715.62,Card,expired_card,2026-02-16 07:25:00,retry,False,
P000174,C00800,4682.12,UPI,card_declined,2026-03-22 05:31:00,payment_link,True,8.0
P000175,C02470,6048.52,NetBanking,network_error,2026-05-21 17:48:00,payment_link,True,56.0
P000176,C01476,2101.91,UPI,limit_exceeded,2026-01-06 02:08:00,message,False,
P000177,C03525,2643.56,UPI,network_error,2026-04-19 06:40:00,escalate,False,
P000178,C00688,2171.97,UPI,card_declined,2026-06-09 00:39:00,stop,False,
P000179,C02150,4323.91,Card,insufficient_balance,2026-06-26 04:18:00,stop,False,
P000180,C03866,8995.77,UPI,card_declined,2026-06-06 10:08:00,retry,False,
P000181,C01633,3146.07,Card,limit_exceeded,2026-03-09 12:41:00,payment_link,False,
P000182,C01824,2644.61,UPI,insufficient_balance,2026-01-21 21:10:00,payment_link,True,69.0
P000183,C02071,1637.27,Card,network_error,2026-06-04 19:48:00,retry,False,
P000184,C02708,1416.94,Card,card_declined,2026-06-11 09:51:00,message,False,
P000185,C03044,6019.56,NetBanking,insufficient_balance,2026-01-27 04:20:00,payment_link,True,11.0
P000186,C02826,1111.62,UPI,network_error,2026-06-28 03:39:00,escalate,False,
P000187,C02832,8735.03,Card,network_error,2026-03-19 12:05:00,message,False,
P000188,C03636,1906.84,NetBanking,expired_card,2026-05-01 21:45:00,stop,False,
P000189,C01164,4521.61,UPI,insufficient_balance,2026-02-22 04:24:00,retry,False,
P000190,C03212,955.34,Card,network_error,2026-05-22 20:03:00,escalate,True,25.0
P000191,C03953,6000.85,Card,expired_card,2026-04-05 16:48:00,retry,False,
P000192,C02873,3164.97,UPI,insufficient_balance,2026-02-03 18:01:00,stop,False,
P000193,C03035,8881.72,Card,expired_card,2026-01-20 00:25:00,payment_link,True,14.0
P000194,C01364,5957.36,Card,bank_timeout,2026-05-12 00:10:00,message,False,
P000195,C03198,1132.86,NetBanking,bank_timeout,2026-06-16 21:59:00,payment_link,False,
P000196,C02285,4321.76,Card,insufficient_balance,2026-06-18 19:34:00,retry,True,19.0
P000197,C01573,1442.67,NetBanking,insufficient_balance,2026-06-17 22:47:00,retry,False,
P000198,C01873,2171.12,UPI,network_error,2026-05-14 20:08:00,escalate,True,38.0
P000199,C03790,8849.03,UPI,limit_exceeded,2026-06-03 14:03:00,stop,False,
P000200,C00568,4267.1,UPI,bank_timeout,2026-01-01 07:16:00,stop,False,
P000201,C02589,1762.33,NetBanking,insufficient_balance,2026-03-08 05:44:00,stop,False,
P000202,C02015,1922.55,NetBanking,limit_exceeded,2026-01-22 14:18:00,retry,False,
P000203,C01838,3831.11,Card,network_error,2026-05-29 08:36:00,escalate,False,
P000204,C03539,1549.5,UPI,card_declined,2026-04-09 05:56:00,payment_link,False,
P000205,C02339,487.42,UPI,insufficient_balance,2026-05-16 17:29:00,message,True,17.0
P000206,C01926,3066.04,Card,card_declined,2026-01-01 11:47:00,payment_link,False,
P000207,C03784,4456.67,Card,network_error,2026-05-29 21:08:00,stop,False,
P000208,C00172,2559.82,UPI,bank_timeout,2026-06-16 09:57:00,retry,True,43.0
P000209,C03696,1129.93,NetBanking,network_error,2026-05-04 21:13:00,stop,False,
P000210,C00674,3663.76,NetBanking,card_declined,2026-04-08 22:58:00,message,False,
P000211,C00504,61827.45,Card,limit_exceeded,2026-04-05 11:22:00,escalate,True,63.0
P000212,C00389,5698.69,UPI,limit_exceeded,2026-03-04 00:21:00,escalate,False,
P000213,C02755,4215.17,Card,network_error,2026-04-26 09:57:00,stop,True,31.0
P000214,C00230,2229.69,Card,network_error,2026-03-04 02:36:00,stop,False,
P000215,C03326,3571.18,UPI,network_error,2026-01-21 23:04:00,payment_link,False,
P000216,C02525,3622.04,Card,expired_card,2026-06-01 06:45:00,message,True,16.0
P000217,C00358,3936.29,UPI,insufficient_balance,2026-02-08 04:23:00,retry,False,
P000218,C01667,3586.55,Card,bank_timeout,2026-03-14 13:00:00,message,True,56.0
P000219,C00592,1949.19,NetBanking,card_declined,2026-01-21 14:51:00,stop,False,
P000220,C02240,3058.38,UPI,card_declined,2026-02-20 07:41:00,retry,False,
P000221,C01013,4777.61,UPI,insufficient_balance,2026-06-25 14:05:00,escalate,False,
P000222,C01007,1056.63,NetBanking,bank_timeout,2026-01-27 20:59:00,message,False,
P000223,C03371,2307.83,UPI,limit_exceeded,2026-01-12 19:48:00,escalate,True,72.0
P000224,C00768,3983.1,UPI,network_error,2026-06-20 08:21:00,escalate,False,
P000225,C00008,1494.45,UPI,card_declined,2026-03-04 00:27:00,payment_link,False,
P000226,C01647,2780.62,NetBanking,insufficient_balance,2026-05-24 07:43:00,stop,False,
P000227,C03414,19901.37,Card,card_declined,2026-03-24 09:43:00,payment_link,True,23.0
P000228,C01885,1168.56,Card,insufficient_balance,2026-04-07 23:07:00,message,False,
P000229,C00059,1943.57,Card,network_error,2026-06-23 23:40:00,payment_link,False,
P000230,C03809,3318.34,UPI,insufficient_balance,2026-03-13 05:26:00,escalate,False,
P000231,C01347,2388.47,Card,network_error,2026-06-14 10:39:00,stop,False,
P000232,C02790,7289.68,UPI,expired_card,2026-01-29 12:57:00,escalate,False,
P000233,C02670,1174.26,Card,expired_card,2026-05-06 10:06:00,message,False,
P000234,C03107,1538.73,UPI,expired_card,2026-04-09 17:32:00,payment_link,False,
P000235,C03593,2814.62,NetBanking,network_error,2026-03-25 14:18:00,stop,False,
P000236,C01709,2448.4,NetBanking,insufficient_balance,2026-05-28 00:26:00,message,False,
P000237,C02574,3799.81,UPI,insufficient_balance,2026-05-06 10:36:00,message,False,
P000238,C02136,2926.74,UPI,expired_card,2026-01-14 08:02:00,escalate,False,
P000239,C01543,4059.49,Card,network_error,2026-02-25 03:21:00,escalate,True,55.0
P000240,C02522,2533.25,Card,limit_exceeded,2026-01-17 03:47:00,message,False,
P000241,C02185,18764.52,NetBanking,network_error,2026-03-10 02:43:00,message,True,64.0
P000242,C01579,5017.61,UPI,card_declined,2026-01-11 06:21:00,message,True,67.0
P000243,C03368,3013.45,UPI,insufficient_balance,2026-02-26 10:13:00,retry,False,
P000244,C00041,2773.55,Card,card_declined,2026-04-20 02:01:00,escalate,False,
P000245,C00153,1707.44,UPI,insufficient_balance,2026-01-12 22:03:00,retry,False,
P000246,C01364,4262.23,UPI,insufficient_balance,2026-02-24 21:25:00,message,True,26.0
P000247,C01109,39903.29,UPI,insufficient_balance,2026-03-16 22:24:00,message,True,39.0
P000248,C02722,5834.83,UPI,limit_exceeded,2026-05-04 22:45:00,payment_link,True,43.0
P000249,C03581,31004.34,UPI,card_declined,2026-03-08 20:59:00,escalate,True,25.0
P000250,C01629,1458.6,UPI,network_error,2026-03-28 08:05:00,retry,True,3.0
P000251,C00420,4133.99,Card,network_error,2026-02-14 03:38:00,message,True,56.0
P000252,C01423,3580.26,NetBanking,network_error,2026-03-30 10:26:00,escalate,True,48.0
P000253,C03976,2939.66,UPI,insufficient_balance,2026-03-07 19:30:00,payment_link,False,
P000254,C03549,4626.02,Card,insufficient_balance,2026-03-29 15:31:00,stop,False,
P000255,C02685,5444.18,UPI,expired_card,2026-05-31 02:35:00,retry,False,
P000256,C01624,2673.15,NetBanking,insufficient_balance,2026-03-11 13:17:00,retry,True,61.0
P000257,C01481,2958.77,UPI,insufficient_balance,2026-03-09 12:01:00,message,True,58.0
P000258,C02999,3344.62,UPI,insufficient_balance,2026-03-25 09:17:00,escalate,True,13.0
P000259,C03863,22374.21,UPI,card_declined,2026-01-10 10:25:00,escalate,True,9.0
P000260,C01033,4273.17,Card,insufficient_balance,2026-05-30 12:55:00,message,False,
P000261,C00372,3036.89,Card,insufficient_balance,2026-06-23 11:28:00,retry,False,
P000262,C01246,1368.68,NetBanking,card_declined,2026-04-07 17:17:00,payment_link,True,5.0
P000263,C00367,4695.95,UPI,insufficient_balance,2026-03-16 02:08:00,escalate,False,
P000264,C00874,7325.41,Card,network_error,2026-01-13 08:38:00,stop,False,
P000265,C01426,2117.26,Card,network_error,2026-03-30 22:10:00,message,False,
P000266,C00743,952.54,UPI,insufficient_balance,2026-01-06 11:12:00,stop,False,
P000267,C02128,3705.6,UPI,card_declined,2026-01-14 16:17:00,retry,False,
P000268,C01390,1534.41,UPI,insufficient_balance,2026-06-18 04:48:00,stop,False,
P000269,C02312,2955.5,Card,card_declined,2026-03-15 08:59:00,message,True,8.0
P000270,C03793,4034.42,UPI,insufficient_balance,2026-03-28 07:19:00,escalate,True,42.0
P000271,C00132,6068.04,UPI,expired_card,2026-05-19 13:31:00,payment_link,False,
P000272,C00538,5632.37,Card,expired_card,2026-01-13 08:57:00,escalate,False,
P000273,C02316,3012.62,NetBanking,card_declined,2026-04-11 16:31:00,message,True,33.0
P000274,C00533,987.4,UPI,network_error,2026-06-01 17:46:00,message,True,27.0
P000275,C01631,3512.21,Card,insufficient_balance,2026-04-09 00:12:00,stop,False,
P000276,C03164,11723.58,UPI,network_error,2026-03-22 03:58:00,message,True,29.0
P000277,C03680,2967.07,UPI,network_error,2026-06-11 15:41:00,retry,True,1.0
P000278,C03935,9902.09,UPI,insufficient_balance,2026-06-28 00:09:00,stop,False,
P000279,C01678,936.08,NetBanking,network_error,2026-01-06 11:33:00,stop,False,
P000280,C02307,1790.41,Card,network_error,2026-04-05 17:41:00,escalate,True,28.0
P000281,C02042,10416.14,UPI,insufficient_balance,2026-04-14 15:43:00,escalate,True,26.0
P000282,C01826,3419.35,UPI,limit_exceeded,2026-06-18 23:58:00,escalate,True,63.0
P000283,C03265,9698.69,UPI,card_declined,2026-01-05 01:55:00,stop,False,
P000284,C02626,7725.09,Card,limit_exceeded,2026-04-03 19:36:00,payment_link,False,
P000285,C03781,5239.88,NetBanking,card_declined,2026-02-12 19:48:00,stop,False,
P000286,C03568,3837.59,NetBanking,network_error,2026-06-08 08:00:00,stop,False,
P000287,C03196,21967.33,UPI,network_error,2026-02-04 04:26:00,escalate,True,40.0
P000288,C03143,2909.9,UPI,insufficient_balance,2026-01-26 04:03:00,message,False,
P000289,C00675,3582.65,UPI,card_declined,2026-05-01 15:26:00,stop,False,
P000290,C00914,4047.43,NetBanking,bank_timeout,2026-06-26 08:31:00,escalate,False,
P000291,C01000,879.17,UPI,insufficient_balance,2026-01-02 15:26:00,retry,True,64.0
P000292,C01228,2423.53,UPI,bank_timeout,2026-05-09 20:19:00,message,False,
P000293,C02021,3430.74,NetBanking,network_error,2026-01-25 19:43:00,escalate,False,
P000294,C01466,5205.25,Card,expired_card,2026-04-03 11:54:00,escalate,False,
P000295,C02405,2899.98,UPI,limit_exceeded,2026-01-28 08:28:00,retry,False,
P000296,C02416,2177.19,UPI,bank_timeout,2026-01-14 14:06:00,retry,True,25.0
P000297,C02432,3182.06,UPI,card_declined,2026-01-15 14:40:00,retry,True,41.0
P000298,C01097,470.25,NetBanking,bank_timeout,2026-06-29 04:08:00,message,False,
P000299,C03312,3016.11,Card,expired_card,2026-06-05 15:13:00,stop,False,
P000300,C03210,2892.89,NetBanking,expired_card,2026-02-18 20:22:00,stop,False,
P000301,C02440,1317.39,Card,network_error,2026-01-23 01:12:00,payment_link,True,49.0
P000302,C00070,1012.75,Card,insufficient_balance,2026-01-23 09:07:00,escalate,False,
P000303,C01537,5117.1,UPI,insufficient_balance,2026-01-14 05:02:00,retry,False,
P000304,C03358,714.16,UPI,insufficient_balance,2026-05-07 01:59:00,stop,False,
P000305,C01261,7922.27,Card,limit_exceeded,2026-05-12 00:53:00,message,True,7.0
P000306,C00416,1898.74,UPI,insufficient_balance,2026-05-22 01:19:00,stop,False,
P000307,C03933,1567.95,UPI,insufficient_balance,2026-04-14 20:44:00,message,False,
P000308,C03802,767.66,NetBanking,limit_exceeded,2026-04-22 09:50:00,retry,False,
P000309,C01419,1856.22,Card,insufficient_balance,2026-03-29 15:50:00,message,False,
P000310,C03619,2516.75,UPI,insufficient_balance,2026-06-09 11:53:00,payment_link,False,
P000311,C00631,3973.36,UPI,insufficient_balance,2026-06-01 09:15:00,message,False,
P000312,C00444,6574.18,NetBanking,network_error,2026-05-27 10:23:00,payment_link,True,31.0
P000313,C00973,3351.38,UPI,network_error,2026-06-18 04:52:00,message,True,15.0
P000314,C03111,2842.88,UPI,limit_exceeded,2026-05-21 14:48:00,stop,False,
P000315,C02992,1880.48,UPI,insufficient_balance,2026-04-28 06:39:00,payment_link,True,3.0
P000316,C00653,1165.74,UPI,limit_exceeded,2026-03-18 06:07:00,stop,False,
P000317,C00923,1624.75,NetBanking,network_error,2026-04-12 03:15:00,retry,True,7.0
P000318,C03238,3332.4,UPI,bank_timeout,2026-03-19 17:10:00,retry,True,46.0
