attempt_id,payment_id,action,attempt_number,timestamp,result,recovered_amount
A00000049,P000049,payment_link,1,2026-02-16 21:56:00,success,2441.75
A00000050,P000050,retry,1,2026-02-06 11:46:00,failed,0.0
A00000051,P000051,retry,1,2026-06-10 16:47:00,failed,0.0
A00000052,P000052,message,1,2026-05-03 23:50:00,failed,0.0
A00000053,P000053,payment_link,1,2026-01-20 22:45:00,failed,0.0
A00000054,P000054,escalate,1,2026-01-31 03:55:00,failed,0.0
A00000055,P000055,retry,1,2026-05-04 13:49:00,success,2760.85
A00000056,P000056,payment_link,1,2026-01-27 07:58:00,success,4449.49
A00000057,P000057,retry,1,2026-02-12 19:02:00,success,5300.75
A00000058,P000058,message,1,2026-04-14 17:56:00,success,14568.71
A00000059,P000059,payment_link,1,2026-01-03 13:09:00,failed,0.0
A00000060,P000060,escalate,1,2026-03-16 11:43:00,failed,0.0
A00000061,P000061,stop,1,2026-02-02 11:00:00,failed,0.0
A00000062,P000062,escalate,1,2026-06-22 00:12:00,success,4258.59
A00000063,P000063,payment_link,1,2026-04-02 11:31:00,failed,0.0
A00000064,P000064,escalate,1,2026-04-21 19:50:00,success,1267.03
A00000065,P000065,message,1,2026-03-02 14:10:00,success,4246.82
A00000066,P000066,stop,1,2026-04-27 23:15:00,failed,0.0
A00000067,P000067,retry,1,2026-06-04 11:52:00,failed,0.0
A00000068,P000068,escalate,1,2026-02-10 11:30:00,success,9454.73
A00000069,P000069,escalate,1,2026-01-29 07:33:00,failed,0.0
A00000070,P000070,retry,1,2026-01-21 14:39:00,failed,0.0
A00000071,P000071,retry,1,2026-05-15 23:15:00,failed,0.0
A00000072,P000072,escalate,1,2026-06-06 21:19:00,success,3930.83
A00000073,P000073,payment_link,1,2026-03-08 00:05:00,failed,0.0
A00000074,P000074,message,1,2026-02-09 19:33:00,success,1536.75
A00000075,P000075,retry,1,2026-06-16 21:03:00,failed,0.0
A00000076,P000076,stop,1,2026-04-02 07:15:00,failed,0.0
A00000077,P000077,retry,1,2026-02-12 15:38:00,failed,0.0
A00000078,P000078,retry,1,2026-04-08 13:58:00,success,4526.25
A00000079,P000079,payment_link,1,2026-02-01 13:47:00,failed,0.0
A00000080,P000080,retry,1,2026-03-16 17:18:00,failed,0.0
A00000081,P000081,stop,1,2026-06-15 17:02:00,failed,0.0
A00000082,P000082,retry,1,2026-05-27 10:10:00,success,3353.91
A00000083,P000083,escalate,1,2026-04-24 05:00:00,success,6049.96
A00000084,P000084,retry,1,2026-01-04 06:20:00,failed,0.0
A00000085,P000085,retry,1,2026-02-15 19:39:00,failed,0.0
A00000086,P000086,escalate,1,2026-03-12 12:50:00,failed,0.0
A00000087,P000087,retry,1,2026-06-11 03:14:00,failed,0.0
A00000088,P000088,message,1,2026-04-02 03:24:00,success,1184.5
A00000089,P000089,payment_link,1,2026-03-05 15:49:00,success,3998.5
A00000090,P000090,retry,1,2026-01-02 19:30:00,failed,0.0
A00000091,P000091,escalate,1,2026-01-25 06:39:00,failed,0.0
A00000092,P000092,retry,1,2026-01-25 08:13:00,failed,0.0
A00000093,P000093,escalate,1,2026-04-07 10:10:00,success,3972.56
A00000094,P000094,retry,1,2026-02-13 00:33:00,failed,0.0
A00000095,P000095,retry,1,2026-01-12 18:57:00,success,2336.74
A00000096,P000096,escalate,1,2026-02-16 08:30:00,success,6105.92
A00000097,P000097,escalate,1,2026-06-13 07:09:00,success,20229.75
A00000098,P000098,message,1,2026-05-10 06:33:00,success,3830.93
A00000099,P000099,stop,1,2026-03-01 10:16:00,failed,0.0
A00000100,P000100,payment_link,1,2026-02-20 01:47:00,success,7465.72
A00000101,P000101,stop,1,2026-03-09 07:10:00,failed,0.0
A00000102,P000102,escalate,1,2026-03-08 23:39:00,success,4460.76
A00000103,P000103,stop,1,2026-03-11 11:55:00,failed,0.0
A00000104,P000104,message,1,2026-01-31 08:37:00,success,3163.43
A00000105,P000105,payment_link,1,2026-04-21 21:37:00,failed,0.0
A00000106,P000106,stop,1,2026-06-18 20:57:00,failed,0.0
A00000107,P000107,message,1,2026-02-10 01:11:00,failed,0.0
A00000108,P000108,message,1,2026-02-10 13:28:00,success,3027.12
A00000109,P000109,payment_link,1,2026-03-31 07:19:00,failed,0.0
A00000110,P000110,retry,1,2026-01-30 17:52:00,success,4364.42
A00000111,P000111,payment_link,1,2026-05-18 19:55:00,failed,0.0
A00000112,P000112,message,1,2026-03-05 14:37:00,success,4590.68
A00000113,P000113,message,1,2026-03-24 02:28:00,failed,0.0
A00000114,P000114,message,1,2026-05-01 12:02:00,success,1689.66
A00000115,P000115,message,1,2026-03-13 23:33:00,failed,0.0
A00000116,P000116,payment_link,1,2026-03-26 21:09:00,success,631.66
A00000117,P000117,message,1,2026-04-15 18:03:00,failed,0.0
A00000118,P000118,payment_link,1,2026-03-11 14:20:00,success,2040.72
A00000119,P000119,stop,1,2026-02-25 22:47:00,failed,0.0
A00000120,P000120,payment_link,1,2026-02-13 06:13:00,failed,0.0
A00000121,P000121,retry,1,2026-06-23 06:33:00,failed,0.0
A00000122,P000122,retry,1,2026-04-14 15:51:00,failed,0.0
A00000123,P000123,escalate,1,2026-01-22 19:13:00,failed,0.0
A00000124,P000124,escalate,1,2026-06-04 01:54:00,success,2315.74
A00000125,P000125,retry,1,2026-01-05 12:32:00,success,3191.59
A00000126,P000126,payment_link,1,2026-01-30 23:09:00,failed,0.0
A00000127,P000127,message,1,2026-03-05 12:10:00,failed,0.0
A00000128,P000128,payment_link,1,2026-06-07 08:10:00,failed,0.0
A00000129,P000129,payment_link,1,2026-04-07 11:57:00,success,2307.6
A00000130,P000130,stop,1,2026-02-28 15:52:00,failed,0.0
A00000131,P000131,escalate,1,2026-06-16 09:54:00,failed,0.0
A00000132,P000132,stop,1,2026-03-21 10:52:00,failed,0.0
A00000133,P000133,payment_link,1,2026-04-02 14:28:00,success,2426.06
A00000134,P000134,stop,1,2026-04-11 20:32:00,failed,0.0
A00000135,P000135,retry,1,2026-05-27 05:46:00,success,7040.08
A00000136,P000136,retry,1,2026-03-05 18:13:00,failed,0.0
A00000137,P000137,payment_link,1,2026-02-27 00:22:00,failed,0.0
A00000138,P000138,escalate,1,2026-01-09 06:02:00,failed,0.0
A00000139,P000139,payment_link,1,2026-01-30 20:15:00,failed,0.0
A00000140,P000140,stop,1,2026-06-18 00:07:00,failed,0.0
A00000141,P000141,escalate,1,2026-05-13 21:19:00,success,4732.59
A00000142,P000142,payment_link,1,2026-02-02 07:59:00,success,23435.08
A00000143,P000143,escalate,1,2026-04-15 16:30:00,success,13866.83
A00000144,P000144,payment_link,1,2026-06-08 06:13:00,success,3661.78
A00000145,P000145,escalate,1,2026-06-10 22:22:00,failed,0.0
A00000146,P000146,retry,1,2026-01-13 21:43:00,failed,0.0
A00000147,P000147,message,1,2026-03-12 18:37:00,success,1711.53
A00000148,P000148,escalate,1,2026-04-26 13:44:00,success,4810.43
A00000149,P000149,payment_link,1,2026-03-20 16:46:00,success,5362.96
A00000150,P000150,retry,1,2026-02-20 23:16:00,failed,0.0
A00000151,P000151,escalate,1,2026-03-14 16:09:00,failed,0.0
A00000152,P000152,message,1,2026-04-17 16:52:00,failed,0.0
A00000153,P000153,stop,1,2026-05-08 11:48:00,failed,0.0
A00000154,P000154,message,1,2026-06-01 14:25:00,failed,0.0
A00000155,P000155,escalate,1,2026-05-22 14:23:00,failed,0.0
A00000156,P000156,stop,1,2026-06-14 17:20:00,failed,0.0
A00000157,P000157,escalate,1,2026-03-19 15:08:00,success,2569.93
A00000158,P000158,payment_link,1,2026-01-24 13:16:00,failed,0.0
A00000159,P000159,retry,1,2026-02-17 03:22:00,failed,0.0
A00000160,P000160,payment_link,1,2026-06-21 17:39:00,failed,0.0
A00000161,P000161,retry,1,2026-03-28 02:11:00,failed,0.0
A00000162,P000162,message,1,2026-02-11 20:25:00,failed,0.0
A00000163,P000163,stop,1,2026-01-19 23:22:00,failed,0.0
A00000164,P000164,retry,1,2026-04-29 23:31:00,failed,0.0
A00000165,P000165,retry,1,2026-04-23 22:13:00,success,2899.46
A00000166,P000166,retry,1,2026-03-04 09:28:00,failed,0.0
A00000167,P000167,stop,1,2026-04-01 11:14:00,failed,0.0
A00000168,P000168,message,1,2026-02-10 05:55:00,success,17421.43
A00000169,P000169,retry,1,2026-01-02 21:17:00,success,3678.72
A00000170,P000170,retry,1,2026-01-24 16:10:00,failed,0.0
A00000171,P000171,payment_link,1,2026-02-02 21:16:00,success,3723.16
A00000172,P000172,stop,1,2026-06-28 12:00:00,failed,0.0
A00000173,P000173,retry,1,2026-02-16 12:25:00,failed,0.0
A00000174,P000174,payment_link,1,2026-03-22 12:31:00,success,4682.12
A00000175,P000175,payment_link,1,2026-05-21 18:48:00,success,6048.52
A00000176,P000176,message,1,2026-01-06 04:08:00,failed,0.0
A00000177,P000177,escalate,1,2026-04-19 10:40:00,failed,0.0
A00000178,P000178,stop,1,2026-06-09 01:39:00,failed,0.0
A00000179,P000179,stop,1,2026-06-26 07:18:00,failed,0.0
A00000180,P000180,retry,1,2026-06-06 12:08:00,failed,0.0
A00000181,P000181,payment_link,1,2026-03-09 14:41:00,failed,0.0
A00000182,P000182,payment_link,1,2026-01-21 23:10:00,success,2644.61
A00000183,P000183,retry,1,2026-06-05 00:48:00,failed,0.0
A00000184,P000184,message,1,2026-06-11 16:51:00,failed,0.0
A00000185,P000185,payment_link,1,2026-01-27 08:20:00,success,6019.56
A00000186,P000186,escalate,1,2026-06-28 10:39:00,failed,0.0
A00000187,P000187,message,1,2026-03-19 15:05:00,failed,0.0
A00000188,P000188,stop,1,2026-05-01 23:45:00,failed,0.0
A00000189,P000189,retry,1,2026-02-22 05:24:00,failed,0.0
A00000190,P000190,escalate,1,2026-05-22 23:03:00,success,955.34
A00000191,P000191,retry,1,2026-04-05 23:48:00,failed,0.0
A00000192,P000192,stop,1,2026-02-03 21:01:00,failed,0.0
A00000193,P000193,payment_link,1,2026-01-20 05:25:00,success,8881.72
A00000194,P000194,message,1,2026-05-12 02:10:00,failed,0.0
A00000195,P000195,payment_link,1,2026-06-17 01:59:00,failed,0.0
A00000196,P000196,retry,1,2026-06-18 21:34:00,success,4321.76
A00000197,P000197,retry,1,2026-06-18 02:47:00,failed,0.0
A00000198,P000198,escalate,1,2026-05-14 22:08:00,success,2171.12
A00000199,P000199,stop,1,2026-06-03 16:03:00,failed,0.0
A00000200,P000200,stop,1,2026-01-01 13:16:00,failed,0.0
A00000201,P000201,stop,1,2026-03-08 08:44:00,failed,0.0
A00000202,P000202,retry,1,2026-01-22 17:18:00,failed,0.0
A00000203,P000203,escalate,1,2026-05-29 14:36:00,failed,0.0
A00000204,P000204,payment_link,1,2026-04-09 12:56:00,failed,0.0
A00000205,P000205,message,1,2026-05-16 23:29:00,success,487.42
A00000206,P000206,payment_link,1,2026-01-01 15:47:00,failed,0.0
A00000207,P000207,stop,1,2026-05-30 02:08:00,failed,0.0
A00000208,P000208,retry,1,2026-06-16 11:57:00,success,2559.82
A00000209,P000209,stop,1,2026-05-04 23:13:00,failed,0.0
A00000210,P000210,message,1,2026-04-09 03:58:00,failed,0.0
A00000211,P000211,escalate,1,2026-04-05 12:22:00,success,61827.45
A00000212,P000212,escalate,1,2026-03-04 05:21:00,failed,0.0
A00000213,P000213,stop,1,2026-04-26 14:57:00,success,4215.17
A00000214,P000214,stop,1,2026-03-04 07:36:00,failed,0.0
A00000215,P000215,payment_link,1,2026-01-22 06:04:00,failed,0.0
A00000216,P000216,message,1,2026-06-01 09:45:00,success,3622.04
A00000217,P000217,retry,1,2026-02-08 05:23:00,failed,0.0
A00000218,P000218,message,1,2026-03-14 17:00:00,success,3586.55
A00000219,P000219,stop,1,2026-01-21 19:51:00,failed,0.0
A00000220,P000220,retry,1,2026-02-20 09:41:00,failed,0.0
A00000221,P000221,escalate,1,2026-06-25 19:05:00,failed,0.0
A00000222,P000222,message,1,2026-01-27 22:59:00,failed,0.0
A00000223,P000223,escalate,1,2026-01-12 23:48:00,success,2307.83
A00000224,P000224,escalate,1,2026-06-20 12:21:00,failed,0.0
A00000225,P000225,payment_link,1,2026-03-04 02:27:00,failed,0.0
A00000226,P000226,stop,1,2026-05-24 11:43:00,failed,0.0
A00000227,P000227,payment_link,1,2026-03-24 10:43:00,success,19901.37
A00000228,P000228,message,1,2026-04-08 05:07:00,failed,0.0
A00000229,P000229,payment_link,1,2026-06-24 04:40:00,failed,0.0
A00000230,P000230,escalate,1,2026-03-13 06:26:00,failed,0.0
A00000231,P000231,stop,1,2026-06-14 16:39:00,failed,0.0
A00000232,P000232,escalate,1,2026-01-29 13:57:00,failed,0.0
A00000233,P000233,message,1,2026-05-06 17:06:00,failed,0.0
A00000234,P000234,payment_link,1,2026-04-09 21:32:00,failed,0.0
A00000235,P000235,stop,1,2026-03-25 21:18:00,failed,0.0
A00000236,P000236,message,1,2026-05-28 06:26:00,failed,0.0
A00000237,P000237,message,1,2026-05-06 14:36:00,failed,0.0
A00000238,P000238,escalate,1,2026-01-14 14:02:00,failed,0.0
A00000239,P000239,escalate,1,2026-02-25 05:21:00,success,4059.49
A00000240,P000240,message,1,2026-01-17 07:47:00,failed,0.0
A00000241,P000241,message,1,2026-03-10 05:43:00,success,18764.52
A00000242,P000242,message,1,2026-01-11 09:21:00,success,5017.61
A00000243,P000243,retry,1,2026-02-26 11:13:00,failed,0.0
A00000244,P000244,escalate,1,2026-04-20 08:01:00,failed,0.0
A00000245,P000245,retry,1,2026-01-13 01:03:00,failed,0.0
A00000246,P000246,message,1,2026-02-24 23:25:00,success,4262.23
A00000247,P000247,message,1,2026-03-17 05:24:00,success,39903.29
A00000248,P000248,payment_link,1,2026-05-05 00:45:00,success,5834.83
A00000249,P000249,escalate,1,2026-03-09 00:59:00,success,31004.34
A00000250,P000250,retry,1,2026-03-28 15:05:00,success,1458.6
A00000251,P000251,message,1,2026-02-14 08:38:00,success,4133.99
A00000252,P000252,escalate,1,2026-03-30 17:26:00,success,3580.26
A00000253,P000253,payment_link,1,2026-03-07 21:30:00,failed,0.0
A00000254,P000254,stop,1,2026-03-29 17:31:00,failed,0.0
A00000255,P000255,retry,1,2026-05-31 08:35:00,failed,0.0
A00000256,P000256,retry,1,2026-03-11 20:17:00,success,2673.15
A00000257,P000257,message,1,2026-03-09 17:01:00,success,2958.77
A00000258,P000258,escalate,1,2026-03-25 11:17:00,success,3344.62
A00000259,P000259,escalate,1,2026-01-10 12:25:00,success,22374.21
A00000260,P000260,message,1,2026-05-30 16:55:00,failed,0.0
A00000261,P000261,retry,1,2026-06-23 15:28:00,failed,0.0
A00000262,P000262,payment_link,1,2026-04-07 22:17:00,success,1368.68
A00000263,P000263,escalate,1,2026-03-16 05:08:00,failed,0.0
A00000264,P000264,stop,1,2026-01-13 15:38:00,failed,0.0
A00000265,P000265,message,1,2026-03-31 02:10:00,failed,0.0
A00000266,P000266,stop,1,2026-01-06 13:12:00,failed,0.0
A00000267,P000267,retry,1,2026-01-14 18:17:00,failed,0.0
A00000268,P000268,stop,1,2026-06-18 07:48:00,failed,0.0
A00000269,P000269,message,1,2026-03-15 09:59:00,success,2955.5
A00000270,P000270,escalate,1,2026-03-28 11:19:00,success,4034.42
A00000271,P000271,payment_link,1,2026-05-19 16:31:00,failed,0.0
A00000272,P000272,escalate,1,2026-01-13 13:57:00,failed,0.0
A00000273,P000273,message,1,2026-04-11 21:31:00,success,3012.62
A00000274,P000274,message,1,2026-06-01 20:46:00,success,987.4
A00000275,P000275,stop,1,2026-04-09 07:12:00,failed,0.0
A00000276,P000276,message,1,2026-03-22 08:58:00,success,11723.58
A00000277,P000277,retry,1,2026-06-11 16:41:00,success,2967.07
A00000278,P000278,stop,1,2026-06-28 01:09:00,failed,0.0
A00000279,P000279,stop,1,2026-01-06 12:33:00,failed,0.0
A00000280,P000280,escalate,1,2026-04-05 18:41:00,success,1790.41
A00000281,P000281,escalate,1,2026-04-14 21:43:00,success,10416.14
A00000282,P000282,escalate,1,2026-06-19 06:58:00,success,3419.35
A00000283,P000283,stop,1,2026-01-05 08:55:00,failed,0.0
A00000284,P000284,payment_link,1,2026-04-03 21:36:00,failed,0.0
A00000285,P000285,stop,1,2026-02-12 23:48:00,failed,0.0
A00000286,P000286,stop,1,2026-06-08 14:00:00,failed,0.0
A00000287,P000287,escalate,1,2026-02-04 11:26:00,success,21967.33
A00000288,P000288,message,1,2026-01-26 11:03:00,failed,0.0
A00000289,P000289,stop,1,2026-05-01 22:26:00,failed,0.0
A00000290,P000290,escalate,1,2026-06-26 14:31:00,failed,0.0
A00000291,P000291,retry,1,2026-01-02 19:26:00,success,879.17
A00000292,P000292,message,1,2026-05-09 22:19:00,failed,0.0
A00000293,P000293,escalate,1,2026-01-26 02:43:00,failed,0.0
A00000294,P000294,escalate,1,2026-04-03 14:54:00,failed,0.0
A00000295,P000295,retry,1,2026-01-28 09:28:00,failed,0.0
A00000296,P000296,retry,1,2026-01-14 19:06:00,success,2177.19
A00000297,P000297,retry,1,2026-01-15 17:40:00,success,3182.06
A00000298,P000298,message,1,2026-06-29 06:08:00,failed,0.0
A00000299,P000299,stop,1,2026-06-05 21:13:00,failed,0.0
A00000300,P000300,stop,1,2026-02-19 00:22:00,failed,0.0
A00000301,P000301,payment_link,1,2026-01-23 07:12:00,success,1317.39
A00000302,P000302,escalate,1,2026-01-23 16:07:00,failed,0.0
A00000303,P000303,retry,1,2026-01-14 11:02:00,failed,0.0
A00000304,P000304,stop,1,2026-05-07 07:59:00,failed,0.0
A00000305,P000305,message,1,2026-05-12 05:53:00,success,7922.27
A00000306,P000306,stop,1,2026-05-22 02:19:00,failed,0.0
A00000307,P000307,message,1,2026-04-15 03:44:00,failed,0.0
A00000308,P000308,retry,1,2026-04-22 11:50:00,failed,0.0
A00000309,P000309,message,1,2026-03-29 20:50:00,failed,0.0
A00000310,P000310,payment_link,1,2026-06-09 15:53:00,failed,0.0
A00000311,P000311,message,1,2026-06-01 11:15:00,failed,0.0
A00000312,P000312,payment_link,1,2026-05-27 13:23:00,success,6574.18
A00000313,P000313,message,1,2026-06-18 11:52:00,success,3351.38
A00000314,P000314,stop,1,2026-05-21 17:48:00,failed,0.0
A00000315,P000315,payment_link,1,2026-04-28 07:39:00,success,1880.48
A00000316,P000316,stop,1,2026-03-18 10:07:00,failed,0.0
A00000317,P000317,retry,1,2026-04-12 08:15:00,success,1624.75
A00000318,P000318,retry,1,2026-03-19 21:10:00,success,3332.4
A00000319,P000319,stop,1,2026-01-23 04:05:00,failed,0.0
A00000320,P000320,escalate,1,2026-02-17 13:05:00,failed,0.0
A00000321,P000321,retry,1,2026-06-20 02:35:00,success,3299.92
A00000322,P000322,escalate,1,2026-05-17 10:39:00,success,14993.04
A00000323,P000323,message,1,2026-04-24 07:42:00,success,10164.57
A00000324,P000324,stop,1,2026-02-16 13:03:00,failed,0.0
A00000325,P000325,message,1,2026-05-06 07:04:00,success,6715.39
A00000326,P000326,escalate,1,2026-05-30 08:07:00,failed,0.0
A00000327,P000327,payment_link,1,2026-03-20 12:36:00,success,1857.75
A00000328,P000328,escalate,1,2026-03-12 05:26:00,failed,0.0
A00000329,P000329,retry,1,2026-01-17 23:21:00,failed,0.0
A00000330,P000330,message,1,2026-01-24 20:40:00,success,5502.0
A00000331,P000331,retry,1,2026-02-23 21:41:00,failed,0.0
A00000332,P000332,payment_link,1,2026-03-17 18:09:00,success,1754.49
A00000333,P000333,escalate,1,2026-06-20 07:57:00,failed,0.0
A00000334,P000334,message,1,2026-05-05 08:05:00,success,1366.45
A00000335,P000335,payment_link,1,2026-04-03 02:57:00,failed,0.0
A00000336,P000336,retry,1,2026-01-09 14:14:00,failed,0.0
A00000337,P000337,payment_link,1,2026-01-11 17:04:00,success,2909.86
A00000338,P000338,escalate,1,2026-03-11 21:33:00,failed,0.0
A00000339,P000339,message,1,2026-03-19 05:33:00,failed,0.0
A00000340,P000340,message,1,2026-01-09 05:49:00,success,5699.39
A00000341,P000341,escalate,1,2026-06-22 06:13:00,failed,0.0
A00000342,P000342,payment_link,1,2026-03-09 03:06:00,success,5619.39
A00000343,P000343,stop,1,2026-03-13 10:40:00,failed,0.0
A00000344,P000344,retry,1,2026-05-24 13:50:00,success,1684.64
A00000345,P000345,escalate,1,2026-04-18 16:28:00,success,3527.53
A00000346,P000346,stop,1,2026-04-20 12:52:00,failed,0.0
A00000347,P000347,stop,1,2026-06-27 17:28:00,failed,0.0
A00000348,P000348,retry,1,2026-05-28 11:07:00,failed,0.0
A00000349,P000349,escalate,1,2026-01-06 12:38:00,failed,0.0
A00000350,P000350,payment_link,1,2026-06-15 21:53:00,failed,0.0
A00000351,P000351,retry,1,2026-06-22 04:15:00,success,5357.08
A00000352,P000352,payment_link,1,2026-02-02 08:15:00,failed,0.0
A00000353,P000353,payment_link,1,2026-03-21 07:40:00,success,1676.68
A00000354,P000354,escalate,1,2026-01-22 07:56:00,failed,0.0
A00000355,P000355,escalate,1,2026-05-24 16:52:00,failed,0.0
A00000356,P000356,payment_link,1,2026-01-28 14:46:00,success,1633.59
A00000357,P000357,retry,1,2026-03-19 15:59:00,success,6323.86
A00000358,P000358,stop,1,2026-01-04 23:11:00,failed,0.0
A00000359,P000359,payment_link,1,2026-02-19 18:24:00,success,394.44
A00000360,P000360,message,1,2026-05-04 10:24:00,success,3399.62
A00000361,P000361,payment_link,1,2026-02-10 02:24:00,failed,0.0
A00000362,P000362,escalate,1,2026-04-19 05:50:00,success,3534.26
A00000363,P000363,payment_link,1,2026-01-07 21:18:00,success,1924.82
A00000364,P000364,retry,1,2026-01-26 22:08:00,success,502.36
A00000365,P000365,retry,1,2026-02-21 17:30:00,success,3389.93
A00000366,P000366,stop,1,2026-03-02 12:11:00,failed,0.0
A00000367,P000367,message,1,2026-02-20 17:41:00,failed,0.0
A00000368,P000368,escalate,1,2026-02-25 12:00:00,success,1800.08
A00000369,P000369,stop,1,2026-01-19 00:52:00,failed,0.0
A00000370,P000370,stop,1,2026-06-24 07:51:00,failed,0.0
A00000371,P000371,message,1,2026-04-12 17:56:00,failed,0.0
A00000372,P000372,payment_link,1,2026-01-09 08:48:00,failed,0.0
A00000373,P000373,payment_link,1,2026-02-02 08:01:00,failed,0.0
A00000374,P000374,stop,1,2026-04-22 17:41:00,failed,0.0
A00000375,P000375,retry,1,2026-04-25 08:10:00,success,736.33
A00000376,P000376,payment_link,1,2026-02-18 09:44:00,failed,0.0
A00000377,P000377,retry,1,2026-04-25 12:31:00,failed,0.0
A00000378,P000378,payment_link,1,2026-05-16 15:40:00,success,1636.48
A00000379,P000379,stop,1,2026-05-01 17:48:00,failed,0.0
A00000380,P000380,stop,1,2026-05-22 20:24:00,success,1574.57
A00000381,P000381,message,1,2026-03-26 14:53:00,success,1974.06
A00000382,P000382,message,1,2026-03-23 14:51:00,failed,0.0
A00000383,P000383,message,1,2026-05-24 19:43:00,failed,0.0
A00000384,P000384,message,1,2026-03-17 19:25:00,success,2986.6
A00000385,P000385,escalate,1,2026-04-24 06:26:00,success,1892.14
A00000386,P000386,escalate,1,2026-03-29 08:32:00,failed,0.0
A00000387,P000387,payment_link,1,2026-05-13 04:47:00,success,5001.69
A00000388,P000388,message,1,2026-05-07 07:53:00,success,7401.45
A00000389,P000389,escalate,1,2026-02-17 17:30:00,failed,0.0
A00000390,P000390,escalate,1,2026-01-02 00:16:00,success,4443.3
A00000391,P000391,stop,1,2026-04-17 21:53:00,failed,0.0
A00000392,P000392,escalate,1,2026-05-30 19:15:00,success,528.57
A00000393,P000393,payment_link,1,2026-01-17 01:56:00,success,463.95
A00000394,P000394,message,1,2026-03-02 10:20:00,failed,0.0
A00000395,P000395,escalate,1,2026-04-14 20:51:00,success,956.08
A00000396,P000396,message,1,2026-04-04 05:34:00,success,4353.55
A00000397,P000397,payment_link,1,2026-05-22 11:16:00,success,6658.66
A00000398,P000398,retry,1,2026-03-18 22:02:00,success,3729.1
A00000399,P000399,retry,1,2026-01-24 23:47:00,failed,0.0
A00000400,P000400,stop,1,2026-02-14 14:02:00,failed,0.0
A00000401,P000401,escalate,1,2026-03-26 11:57:00,success,965.15
A00000402,P000402,retry,1,2026-05-09 01:47:00,failed,0.0
A00000403,P000403,message,1,2026-05-12 08:26:00,success,20641.65
A00000404,P000404,payment_link,1,2026-06-19 07:16:00,failed,0.0
A00000405,P000405,message,1,2026-03-15 09:02:00,success,18704.69
