customer_id,customer_ltv,total_successful_payments,total_failed_payments,average_payment_amount,preferred_payment_method
C00035,81944.52681267171,20,1,3180.9862660818,UPI
C00036,244240.51572182417,14,3,12444.373571190821,NetBanking
C00037,29246.68065171418,9,1,1462.7502202325231,UPI
C00038,45554.998651184455,17,2,4605.485535793247,UPI
C00039,10329.352929794972,7,1,1954.395645896673,UPI
C00040,14645.72592453207,11,2,2338.1731456358343,UPI
C00041,33443.57812088315,10,3,1699.381180627899,NetBanking
C00042,38324.13296984118,5,4,981.1125654356331,UPI
C00043,17894.117144246477,4,8,1329.5782882521748,UPI
C00044,13410.990440667141,6,3,2881.2618735036867,NetBanking
C00045,6765.04913273701,5,4,1756.8168469483512,UPI
C00046,88230.62573856804,16,1,4398.981210250567,UPI
C00047,109135.80664548649,14,3,18906.689178011846,UPI
C00048,36304.82802431771,4,4,3644.7631883657245,Card
C00049,51343.91586253961,15,0,5790.494357079307,Card
C00050,71125.5867473832,22,0,1023.8149390802256,UPI
C00051,24099.998606688067,5,2,2875.7013501648166,Card
C00052,86384.14944589775,15,1,2596.2514901583686,UPI
C00053,32469.519951166225,9,0,3140.567613320531,Card
C00054,38772.086556299226,11,2,1319.9411433092228,Card
C00055,238694.02553385997,16,3,11392.55855728049,UPI
C00056,39624.353685727394,11,4,966.1406187945088,NetBanking
C00057,8743.939334586023,2,4,1978.2153217089215,Card
C00058,13900.39831102996,4,2,2724.332212687974,UPI
C00059,34671.252812875915,10,1,2513.165362350037,Card
C00060,35999.75739534016,5,3,3962.0418420777933,UPI
C00061,11094.264288861716,5,1,3535.528332080204,UPI
C00062,57044.355090447774,23,2,4073.321965430807,Card
C00063,16923.803900456758,6,1,1176.5552837638943,NetBanking
C00064,29695.3936750919,10,3,2027.3944038499635,Card
C00065,19526.152013650877,5,3,1526.6990492021796,UPI
C00066,13438.67783981664,2,3,729.8931680105807,UPI
C00067,37912.721903854326,11,1,2108.137502221978,UPI
C00068,30765.220432859158,9,1,2948.6649168597137,UPI
C00069,5541.139310399331,4,8,1454.4300014230098,NetBanking
C00070,19619.726506288105,11,1,2986.0234635534207,Card
C00071,47026.39254143013,24,0,1317.8553347681684,UPI
C00072,233811.56569706034,17,1,23466.89904517325,Card
C00073,7772.606754500101,2,9,2702.1794459763146,NetBanking
C00074,4204.908027423608,5,7,1812.9575409288436,UPI
C00075,11690.139001562286,3,2,3290.95235637517,Card
C00076,17312.79715504282,2,4,1000.1307854996605,UPI
C00077,13128.000647397534,10,2,1916.391406040556,UPI
C00078,18649.77669889658,4,3,3635.5883492719076,Card
C00079,68102.19629825137,22,1,4794.643302502965,Card
C00080,34073.29379363575,11,3,1129.5690321628886,Card
C00081,20060.416582760354,5,3,2002.5754745491445,UPI
C00082,155610.85754304228,20,3,13143.162920703497,Card
C00083,17907.065250973108,3,2,3499.1558791691973,UPI
C00084,221910.5807975389,19,0,25542.516457548805,UPI
C00085,14225.602155262844,4,5,1867.5204853268028,Card
C00086,12648.025927451488,5,4,2022.7810566979415,UPI
C00087,248651.56423284867,12,2,28663.202286828495,Card
C00088,52506.546896883374,16,0,1563.4772123368248,UPI
C00089,89249.77137790606,9,1,3177.802943966569,UPI
C00090,31870.926690956774,13,1,2966.012207234594,UPI
C00091,34290.06934018781,8,3,2193.624722399059,Card
C00092,36906.03285484294,11,4,1719.6504435155646,UPI
C00093,46870.27514084676,8,0,1277.6142714334967,Card
C00094,17109.98283501483,7,4,1663.4448023461973,Card
C00095,25747.446594054116,4,3,2959.1077440257563,UPI
C00096,25283.39574486453,10,1,2113.688069087588,UPI
C00097,32901.624384614464,12,2,4444.227101363787,UPI
C00098,63577.45505179669,17,2,4152.568220384327,UPI
C00099,35937.77118480395,13,2,5481.829021593907,NetBanking
C00100,27270.35235908757,21,1,2012.3240566929258,Card
C00101,8746.996448254627,2,3,2063.941353450597,Card
C00102,38669.36759221465,5,4,1062.7053131111736,UPI
C00103,16011.027036818594,6,8,2006.8900756684004,Card
C00104,78368.96114968444,22,1,5673.988853987207,UPI
C00105,29117.183882364487,10,1,3869.2019395234556,UPI
C00106,66704.59980260805,12,0,2441.5654151129365,Card
C00107,4841.640326488943,1,7,1342.86284549399,Card
C00108,80212.8362723453,24,1,1201.5516286659208,Card
C00109,57959.4250092849,22,2,1110.0656652240045,UPI
C00110,21886.924283524735,6,4,2570.059168738347,UPI
C00111,10184.600213178352,6,7,1831.798262343106,Card
C00112,20779.88803746382,8,3,1461.015455783538,Card
C00113,29567.78354841733,7,3,1684.8008685073319,UPI
C00114,41317.70735372851,18,1,4408.689173396183,UPI
C00115,23740.850091349123,10,4,1803.2499720570136,UPI
C00116,20086.94282566177,10,2,2803.420971667847,Card
C00117,18571.617385107213,5,4,1628.927451353502,Card
C00118,21049.762966835755,4,3,2245.856656183513,UPI
C00119,17524.762292178617,5,3,757.1858179762705,Card
C00120,17062.492222008274,6,2,1106.5254073889973,UPI
C00121,56686.49500276858,24,1,3316.299595397514,NetBanking
C00122,18240.07704255553,8,1,1940.442022479451,Card
C00123,19690.91965016012,4,9,2156.308543175868,UPI
C00124,36756.89969893393,11,1,2264.010254960742,UPI
C00125,11365.238891253217,5,3,681.1204023472615,Card
C00126,11378.857310877816,6,2,3677.6131641764136,Card
C00127,34641.505563897284,3,4,1799.832800186535,Card
C00128,30478.797661913777,19,0,1009.8965409460388,Card
C00129,8718.391815291414,1,3,1278.6485669718058,Card
C00130,16792.190967763214,6,7,846.1608509740786,UPI
C00131,48492.19439712775,18,2,2072.423729679619,Card
C00132,33448.36855285628,11,3,3498.616400650287,UPI
C00133,122314.34645988393,21,2,27976.068597991965,UPI
C00134,16485.52780724001,11,1,3237.7674776281515,Card
C00135,35925.8420460941,10,1,3155.017185302152,Card
C00136,26264.504863390037,7,1,2365.4591424913824,Card
C00137,87403.24589725069,23,1,2068.701875940107,UPI
C00138,30040.712242768754,8,2,3242.7029519310254,NetBanking
C00139,40332.76399258482,9,1,4058.9070554447944,UPI
C00140,32664.558732321708,6,3,3794.523819451702,UPI
C00141,13055.147105013724,6,5,1002.7511609541114,UPI
C00142,23165.85860774935,8,4,1935.7014803780692,UPI
C00143,53135.253793816584,15,2,1660.3711264505457,Card
C00144,84819.48190224984,21,1,1734.6169421295351,UPI
C00145,28043.721391209547,8,0,3060.015133000973,Card
C00146,33646.7532663825,14,0,2188.7928835837183,UPI
C00147,74883.76488201009,14,0,8978.131250370876,Card
C00148,45215.17595713441,22,2,2977.1066265796253,Card
C00149,38612.5115993911,5,1,705.1674385791639,Card
C00150,31267.625122777165,23,2,1846.8344406439514,Card
C00151,38968.68458606254,20,2,1859.2159253823916,UPI
C00152,26922.789728580294,11,1,5836.473156842861,NetBanking
C00153,9748.658714770258,1,4,1787.224887561756,UPI
C00154,21760.604386848558,4,3,2984.677363197344,UPI
C00155,18250.923481125195,3,6,965.7922861147101,UPI
C00156,29463.686362492863,23,0,4535.945330778894,UPI
C00157,228947.08094983638,10,0,14108.019639688002,Card
C00158,34421.41112860729,7,4,3321.39558969321,Card
C00159,3223.348700912361,4,6,1102.6017401010427,Card
C00160,29449.111323774945,14,1,5358.011329585887,Card
C00161,24794.977147887777,10,3,3355.50257562735,UPI
C00162,39065.74707363496,15,2,3761.4084215103408,UPI
C00163,28523.336383888363,22,0,2895.2840632248362,UPI
C00164,9578.743803586953,8,3,3177.5173415676677,Card
C00165,70021.5628118729,13,1,5664.593395662716,UPI
C00166,48458.22748767113,19,0,2450.844630217355,Card
C00167,36106.25531302414,10,2,3624.8220618550636,NetBanking
C00168,8705.369697580752,6,3,2685.386075169704,UPI
C00169,60842.253909437604,20,2,1714.875890744242,UPI
C00170,27540.529643909776,4,4,1224.1355699506266,Card
C00171,34948.80447415037,19,1,3926.37822717433,NetBanking
C00172,5788.895657258152,5,5,1861.038941566936,UPI
C00173,28156.0308584411,10,2,1806.4716389623738,UPI
C00174,15894.964256959265,10,4,2884.3091347008467,UPI
C00175,14988.545220424254,7,3,3058.3751155207065,Card
C00176,49440.77348514559,10,0,2421.2758922473004,Card
C00177,85492.77796781654,14,0,5637.1293191565655,Card
C00178,24444.095732046397,11,4,2645.3606240048866,UPI
C00179,208658.64203750162,12,3,18383.96668451789,NetBanking
C00180,72298.6325528487,8,1,4912.582086151394,UPI
C00181,153640.39883836603,16,1,24820.200178052586,NetBanking
C00182,52486.663452206674,23,1,3572.6403171076095,UPI
C00183,27837.72598045297,4,3,1124.5240932971315,UPI
C00184,92425.13479294132,10,2,18505.459297501162,Card
C00185,19103.54892620571,1,8,588.3102885288345,NetBanking
C00186,49635.99435411388,12,2,5852.812738571065,UPI
C00187,36950.199323640016,3,2,1730.1788260168214,Card
C00188,53096.754729410444,15,2,5477.363593967066,UPI
C00189,185887.13087889313,13,1,23963.53261370837,Card
C00190,37122.16168153548,23,1,1364.2556185438439,UPI
C00191,5396.656435165193,5,8,2147.3521233292136,UPI
C00192,88491.6821362914,17,0,5418.001890685782,Card
C00193,10691.165210165884,5,2,3419.268855616836,Card
C00194,67854.21799075473,21,1,4039.463875186959,UPI
C00195,25882.996565141704,3,3,984.8475028891553,UPI
C00196,23719.65193793393,8,3,2491.635758882193,UPI
C00197,31325.862119476806,8,2,3623.885062556548,UPI
C00198,20378.566388214826,3,1,2394.8162761478584,Card
C00199,35670.66426956281,11,1,1134.2664180766196,UPI
C00200,3173.3107878944174,4,9,1947.4846006248133,NetBanking
C00201,25443.940398617797,8,4,3937.223522190322,UPI
C00202,12441.563865285225,1,3,1578.2463877941414,NetBanking
C00203,34904.51841079453,10,1,1999.8526488123189,Card
C00204,236375.62102544287,21,0,28393.054793637144,NetBanking
C00205,76635.73685937317,10,2,2601.6417142160667,Card
C00206,10514.85588413685,3,3,3662.9554032628607,UPI
C00207,13052.56879664784,5,7,2806.90741609857,UPI
C00208,53015.4709825525,10,1,2588.430032139519,UPI
C00209,13402.782917298722,8,4,2596.5700786063717,Card
C00210,28124.369714581393,15,2,1360.1186557107021,UPI
C00211,8393.658283217435,2,9,2388.915408989733,UPI
C00212,31891.749341817296,6,1,2283.0225920024,UPI
C00213,39450.80941615881,6,2,2050.0384454523273,UPI
C00214,35993.496193961095,9,3,2671.14221986266,UPI
C00215,14855.032675535665,11,2,1505.8083169822069,UPI
C00216,11350.729762101488,6,2,3972.7980623995645,UPI
C00217,33921.207977880396,6,4,3491.967189479421,Card
C00218,20053.66493394349,6,3,1335.3435810066383,UPI
C00219,63248.19828185595,14,0,5653.006317783937,Card
C00220,3784.9206018640643,6,4,2975.0860505553687,UPI
C00221,76331.94955922943,21,2,4056.9001431525385,UPI
C00222,79728.74017567752,16,1,4890.404982925322,UPI
C00223,75708.64672783265,17,2,3107.396784494213,Card
C00224,222772.76479973664,14,3,15951.218806703986,Card
C00225,9675.59645156852,6,3,3420.8088561775944,Card
C00226,17517.781531521337,1,8,972.6436684136537,Card
C00227,11097.705138584734,4,1,2060.7172208641023,Card
C00228,24790.90590886683,6,3,1853.8516162521048,UPI
C00229,82252.17271702623,17,0,5741.586171648178,UPI
C00230,36557.37018108486,3,1,3258.9826314089855,Card
C00231,125247.51062420048,15,3,15164.569633769475,UPI
C00232,87151.06531678906,23,2,1524.0177856696992,Card
C00233,36606.81285554318,10,0,3847.0991670283124,UPI
C00234,31049.744140889172,3,1,2103.5948297437626,NetBanking
C00235,13124.320481457275,6,6,1603.7535964499368,Card
C00236,74182.67957577738,17,0,3005.745021771979,Card
C00237,10375.541063767294,7,3,2809.8537843879567,Card
C00238,80820.20544010599,9,0,5943.470595983814,UPI
C00239,98725.45660922758,12,0,23418.01335679071,UPI
C00240,25086.020539840993,16,2,4271.285046558789,Card
C00241,59960.1279159373,9,1,1069.061833850631,NetBanking
C00242,13926.851717067904,8,2,702.1763027046081,Card
C00243,32426.279911388454,5,1,2532.175010709594,Card
C00244,43548.27248912865,19,2,1304.1658714314299,Card
C00245,54623.83505129217,9,1,3344.901924705407,Card
C00246,29200.095669245246,4,3,1480.711694505736,UPI
C00247,82152.64365483721,9,0,3651.7543646890417,UPI
C00248,61074.79038664974,15,0,5575.113010870894,Card
C00249,100001.19856595606,8,0,11917.893054016391,UPI
C00250,85086.84046099774,15,0,12686.427836309504,UPI
C00251,57432.141308373364,18,0,4866.802894707063,NetBanking
C00252,10957.923017017067,3,9,2670.7039148207077,UPI
C00253,42380.42317213895,22,0,4054.8640760666344,Card
C00254,86731.16364610594,24,2,5729.8255861869475,UPI
C00255,26364.64890489259,6,4,957.8691027322704,Card
C00256,4242.498570683622,3,4,1259.2323212506647,Card
C00257,62254.64391123405,11,1,4771.918487640398,Card
C00258,9692.169298631612,4,1,1127.5599780925488,UPI
C00259,31262.527455565843,10,1,4014.7744100922796,Card
C00260,26012.1418064689,5,4,1866.1741519187754,Card
C00261,36179.522945873636,4,1,3888.8306472473146,UPI
C00262,25345.448358770584,12,1,5518.414540475927,Card
C00263,33612.113800239174,10,3,3155.3214137342065,Card
C00264,133009.91253717622,9,2,25317.97868862292,UPI
C00265,64332.86499495785,23,1,1553.1676787456304,NetBanking
C00266,15360.747176294173,3,9,2411.747551967017,UPI
C00267,57869.160660055735,21,2,1773.121445178735,UPI
C00268,35528.47963369879,8,1,2952.2032656982897,Card
C00269,34090.96778256654,11,2,2487.033142331109,UPI
C00270,22819.03733924,7,3,3273.0428222650353,Card
C00271,244105.85910216597,12,3,28893.070273167228,Card
C00272,34551.890297935985,8,4,2455.9367921980975,NetBanking
C00273,88417.83455481377,10,2,1869.7491539008395,UPI
C00274,43529.92550660686,21,2,1196.165976142042,Card
C00275,39021.42545248258,5,1,2932.373754221016,NetBanking
C00276,32349.24988140536,6,4,3172.565994719357,Card
C00277,37338.25792401662,6,4,2408.424662158947,UPI
C00278,68655.67749579935,9,2,3896.318750828958,UPI
C00279,31672.176792692666,22,2,3510.0992179720943,UPI
C00280,71529.87071964325,9,0,2539.951692101091,UPI
C00281,43109.54978321631,12,2,5954.331200232098,UPI
C00282,18549.079146921795,10,4,1506.6603282131716,UPI
C00283,22358.131001729293,6,2,1726.8443612014155,UPI
C00284,9604.128670094013,6,1,2664.646575466366,UPI
C00285,8773.990553786536,4,6,2318.6421563669146,UPI
C00286,74537.75235930184,15,0,3217.8867211520355,Card
C00287,52757.790539060996,19,0,3521.4912103751467,UPI
C00288,103280.92174044374,15,3,13279.08798298235,UPI
C00289,7639.977510662579,5,6,889.7292508893513,Card
C00290,16586.79004806205,11,2,2123.437176672447,Card
C00291,32298.812628901127,6,3,3290.4538052768153,UPI
C00292,37605.833115123736,3,3,2123.6355405004733,UPI
C00293,74932.92635040653,8,1,5810.212102995776,UPI
C00294,24744.41526053166,7,4,2154.1493181989736,UPI
C00295,64606.23198231919,22,0,3053.7523738115733,NetBanking
C00296,11909.934967872938,6,8,2671.5115254593175,NetBanking
C00297,36909.43643344743,6,1,1386.713179569907,UPI
C00298,69911.00053195299,19,2,5086.718646780079,UPI
C00299,8351.197568275193,1,6,2766.860514182043,Card
C00300,94549.79179504336,13,2,8979.88443981119,Card
C00301,87546.65639033577,18,1,5193.876890844776,Card
C00302,63030.438424121116,12,1,4810.200603566297,Card
C00303,60543.097638887935,21,1,4859.723249580566,Card
C00304,85065.30042031378,10,2,2592.8046010848548,UPI
C00305,35171.02507404256,9,1,3887.1216707405683,NetBanking
C00306,42391.083700851974,8,0,1606.5640025489233,Card
C00307,81504.4599699827,18,0,4873.1397251027265,NetBanking
C00308,38105.72432838737,4,3,1576.80537935011,UPI
C00309,36502.76067840951,17,0,5014.860492678688,UPI
C00310,9875.468827953597,4,3,2586.120086015376,UPI
C00311,72572.5936644195,10,1,3644.6877283220983,NetBanking
C00312,40809.69873481378,16,1,1722.271160131325,UPI
C00313,27219.130391889084,8,4,1493.4948997907368,Card
C00314,82261.92062261795,19,2,5939.690478562739,Card
C00315,39181.33687567417,24,2,1284.034011476783,Card
C00316,83595.45464131238,19,0,4575.5383309501685,UPI
C00317,32761.388253331104,21,1,4784.4616208928965,UPI
C00318,71623.99667191491,16,1,3533.6940099647472,NetBanking
C00319,65563.11772396963,20,0,4351.552486317234,UPI
C00320,88280.4276674797,13,1,2985.696113940502,UPI
C00321,25884.18372297799,9,1,3082.4614108110645,Card
C00322,68756.20787532022,23,1,4090.900159569751,UPI
C00323,11399.240483396045,5,8,1156.7136736130963,UPI
C00324,20235.16922389565,6,3,1971.3598736024833,UPI
C00325,18784.38475203241,6,2,3814.5936320091887,UPI
C00326,17506.932695200852,5,1,3351.4394188363085,Card
C00327,86387.91795593617,18,1,2131.85145880552,UPI
C00328,14426.562492165278,6,8,654.5786072484045,UPI
C00329,12901.78680994659,3,8,619.561386984989,UPI
C00330,12452.312039601224,10,2,1263.748704429107,UPI
C00331,147448.23352104257,17,1,21394.493912517413,Card
C00332,201412.99620245473,13,0,13973.758227990995,UPI
C00333,5706.1061617389005,3,4,1292.215958367517,UPI
C00334,5161.8999971244275,6,5,1156.2331945975977,UPI
C00335,11993.34030791055,6,3,1351.6188379182963,Card
C00336,17347.421755329055,3,5,1171.019346255086,Card
C00337,23835.644612829266,9,1,2945.423745143601,UPI
C00338,37528.427653885214,3,3,1854.713881355746,NetBanking
C00339,49809.336923274415,11,0,3378.999525359244,UPI
C00340,35358.70447898465,19,0,5126.097394398116,Card
C00341,15176.958574683296,10,4,1320.4312925511344,Card
C00342,46328.390597845995,11,1,4216.587114896389,Card
C00343,25857.945706618084,20,2,1233.2878651835413,UPI
C00344,18843.933368707905,5,1,3430.645833194709,Card
C00345,63302.690988614006,10,2,3420.8097699359787,UPI
C00346,87390.24178739934,8,2,1729.31713747725,UPI
C00347,19772.32800563332,5,8,2048.4498738195475,Card
C00348,10986.509598284065,3,2,2305.745713935271,Card
C00349,87648.70294706692,13,2,1154.6182123372453,UPI
C00350,15367.349486534775,10,1,1796.5552849570386,UPI
C00351,5645.650568778567,3,8,1572.225928981896,NetBanking
C00352,10162.288202337098,4,2,2003.1116400690821,UPI
C00353,35042.227217376654,19,1,3366.865635155962,Card
C00354,39376.497179505495,12,2,5995.697742840036,UPI
C00355,191108.98068787658,19,0,23670.494543620276,UPI
C00356,53350.4771964052,9,2,4918.642278289844,Card
C00357,15403.951448839116,3,6,1590.5776352985104,Card
C00358,6027.330730611835,3,9,1856.4235482000418,UPI
C00359,41432.138617154145,22,0,5846.389553279361,UPI
C00360,39833.6194517992,5,2,3591.72975076371,Card
C00361,39054.97834391949,10,3,2319.035782119444,UPI
C00362,3447.382509013723,4,3,1024.2540767933274,NetBanking
C00363,83579.21835084166,16,0,4783.86416861026,UPI
C00364,24129.259982866657,8,4,2495.5166634334264,UPI
C00365,248791.70829782868,21,1,20268.462301365056,UPI
C00366,32622.38306452074,5,1,2521.1191735388584,UPI
C00367,10992.98235682043,8,2,2188.4032180308623,UPI
C00368,39428.46856101103,3,2,3191.648291954857,UPI
C00369,30361.841946305693,16,2,4155.615210318136,NetBanking
C00370,81362.81634533097,11,2,4992.6475311471095,Card
C00371,37428.22712512897,6,1,2090.7764781994,Card
C00372,41017.88792756524,9,2,2291.303443360935,Card
C00373,8865.636019079531,4,4,942.9342929785986,UPI
C00374,44248.29016975547,8,1,5918.388985792335,UPI
C00375,34399.362756048744,21,0,4976.676046162349,Card
C00376,34209.50329051756,6,4,2007.711227731851,Card
C00377,34500.45433712611,8,2,1732.5613101673944,UPI
C00378,44602.8423721487,18,2,2069.4570282604136,UPI
C00379,52604.21072513481,19,2,4878.904416674528,Card
C00380,18637.049941068693,1,4,786.1333426898268,Card
C00381,227135.1140444567,18,0,23353.59702456675,Card
C00382,24649.923493898976,11,1,1227.9631299889295,UPI
C00383,20049.131924942685,3,3,2357.7932887352845,Card
C00384,26451.954550392413,9,2,2723.5907664239503,NetBanking
C00385,64343.98723727428,16,2,3072.013488514173,UPI
C00386,31882.070457561604,17,1,2730.1783299498907,UPI
C00387,61060.41362141296,13,2,2214.251025551679,NetBanking
C00388,32561.116385576574,12,0,5190.261897060645,UPI
C00389,57602.876983022055,13,1,5994.194666431642,UPI
C00390,23897.139629985606,10,1,3604.146129567333,Card
C00391,28963.8297591798,15,0,5939.098637259471,NetBanking
C00392,32491.363915675567,5,2,3112.222892482443,UPI
C00393,10464.757920731976,9,1,1524.5628564978856,Card
C00394,66651.97382603213,17,0,2117.8916091115734,NetBanking
C00395,14556.283342752917,9,2,1888.932290536595,UPI
C00396,57647.07749192254,10,0,5819.219478900005,Card
C00397,39406.669472063484,7,3,3623.9882697255634,UPI
C00398,34485.49029181001,18,2,5275.028107751642,UPI
C00399,60254.086427722876,15,2,5590.397041259331,UPI
C00400,109470.22063517416,11,0,28445.634047742657,NetBanking
C00401,5404.678317770646,5,7,1307.151810171023,UPI
C00402,24752.81163426651,9,4,2246.772911587437,Card
C00403,60202.45524413831,22,2,1110.6929748848183,UPI
C00404,33411.66366710789,4,1,3296.657846373678,Card
C00405,16061.555787791807,7,1,2142.5949495535506,UPI
C00406,36891.31933275218,4,1,2556.616388915503,Card
C00407,21349.0079379006,9,4,2237.3101948709127,NetBanking
C00408,74604.18201212466,10,2,3539.831474700832,UPI
C00409,31140.94227515926,8,1,3254.1060176004708,UPI
C00410,29669.7479873897,3,2,1310.1409290314327,UPI
C00411,51174.28541590815,9,2,1708.342731521771,UPI
C00412,29424.893550938315,4,4,1805.9918449656448,UPI
C00413,73895.96978944623,11,0,3525.0009456062116,Card
C00414,12064.045589857533,3,7,734.9603569355069,UPI
C00415,83709.71026503183,22,1,5620.261867891367,UPI
C00416,13845.520968464985,9,2,2122.7022652491805,UPI
C00417,25953.488372379397,3,3,3443.901085528187,UPI
C00418,10257.060845504564,2,7,1709.8149811243243,NetBanking
C00419,23102.551522925118,3,3,1012.0365310718776,UPI
C00420,59727.46516626967,8,1,3627.427625521325,Card
C00421,30750.2047924292,7,1,2728.9278746725395,Card
C00422,48675.58681333993,11,2,1615.559084719126,Card
C00423,59552.07520025898,13,1,4516.590670500445,NetBanking
C00424,189876.0624541094,21,2,14981.801731408514,Card
C00425,52745.189835953526,21,1,5380.180077909529,NetBanking
C00426,37358.434325580034,8,1,2723.7767629430728,Card
C00427,32938.51087125804,5,3,3918.9018012294177,Card
C00428,29143.963615925044,10,4,2036.7423425585018,UPI
C00429,77485.99068371294,14,1,1320.2925789244898,UPI
C00430,7565.680670762603,2,7,1951.9366945294414,NetBanking
C00431,8255.124437707876,4,6,551.6600080235119,UPI
C00432,20147.181159741038,3,4,3263.3633172182263,UPI
C00433,5686.388217171011,3,3,507.7566396156789,NetBanking
C00434,8325.079973675556,9,2,1289.2624640595136,UPI
C00435,15038.63926981846,4,9,1384.141877441994,Card
C00436,33714.14697875601,5,1,2007.1992009952496,Card
C00437,31983.97376393379,11,4,3027.1877344758054,Card
C00438,196011.11934696356,15,0,14208.235638392161,UPI
C00439,46696.29650736427,10,1,5654.235297309542,Card
C00440,57644.126367428835,19,0,2208.009860370127,Card
C00441,14156.55475358676,8,2,2300.578429738262,NetBanking
C00442,15855.65123032097,4,8,1454.1963623186389,UPI
C00443,44390.34298556793,14,0,5051.25178068043,UPI
C00444,61980.49974150929,21,0,5692.99912353027,NetBanking
C00445,13346.849319723255,5,4,3353.2987491338586,Card
C00446,21327.894973029564,11,3,1364.3306053022213,UPI
C00447,75927.2560281179,21,0,3425.3146565653506,UPI
C00448,56573.31496765444,21,0,4877.251531291799,UPI
C00449,12213.692657707372,6,4,934.1345498604646,UPI
C00450,83756.62774373949,8,0,3895.6989957013125,Card
C00451,33730.666253168514,9,3,795.9365932578005,NetBanking
C00452,16789.809059762956,1,3,2844.0146491241667,Card
C00453,126130.23307015501,14,3,23553.614100700157,Card
C00454,32502.250973771268,6,1,1116.4244956847233,UPI
C00455,13746.222103912834,10,1,2448.440460848081,Card
C00456,11812.889074600962,1,3,2120.414918724994,Card
C00457,3028.370454284263,5,4,2777.357716686978,NetBanking
C00458,76479.08648239772,16,1,5519.593191481188,UPI
C00459,9329.5012504475,10,3,1946.9272114821451,Card
C00460,17656.224535755333,2,8,2109.558261229296,NetBanking
C00461,9913.083540704063,3,9,845.0596481601301,UPI
C00462,12835.153572598483,8,2,807.7714587967641,UPI
C00463,10832.131436092986,9,2,3866.2600324452824,UPI
C00464,80378.99235731785,9,2,2629.963687033948,UPI
C00465,208571.50252755187,18,3,26568.030638913762,UPI
C00466,28181.115522837834,15,2,1734.8366135870854,Card
C00467,195970.13948978792,21,2,22982.030229640834,UPI
C00468,18890.016224444007,6,8,1663.230831466142,UPI
C00469,52208.45482482027,16,2,5081.353834155945,Card
C00470,34720.84737885893,7,1,1523.3517929035843,Card
C00471,37872.768960982066,18,0,5261.714124977947,UPI
C00472,14380.174125599659,3,2,1443.456050443419,UPI
C00473,62905.953942705084,24,0,2144.552916255468,UPI
C00474,51472.9677312677,14,2,4136.127193270515,UPI
C00475,210711.29421726125,17,0,24369.248426964514,UPI
C00476,12964.65998261157,4,1,2774.367725487791,UPI
C00477,37107.099797250135,15,1,2412.8822968860372,UPI
C00478,20995.77991942035,7,4,3219.247082192958,Card
C00479,34851.87390379871,22,1,1459.9587402862298,Card
C00480,24250.905301149847,9,2,720.1319498058663,UPI
C00481,32682.80986086945,5,1,2951.8096008091698,Card
C00482,8051.047883485495,5,1,2929.7857994204383,UPI
C00483,23972.52816230784,11,1,1529.934356229725,Card
C00484,52011.65976723022,11,2,5251.74627042711,UPI
C00485,26693.22299900009,7,2,1555.613553263394,UPI
C00486,13665.190293814343,3,7,2656.952333727745,Card
C00487,32338.38524254641,7,1,2044.6173331563516,Card
C00488,79488.27677623759,11,0,3928.961446437823,UPI
C00489,71438.33436495397,24,2,2251.435989740724,UPI
C00490,14457.996886867244,1,9,1040.683190409378,Card
C00491,61328.81421539393,8,1,4986.9046353841095,UPI
